count,elapsed_time,delay_time
1,9.799003601074219e-05,5.364418029785156e-05
2,3.5334861278533936,0.1348719596862793
3,4.659195184707642,0.15855026245117188
4,8.438429832458496,0.12411642074584961
5,9.36566710472107,0.10349845886230469
6,10.572530746459961,0.11888456344604492
7,11.404900312423706,0.09476590156555176
8,12.143028259277344,0.072998046875
9,12.747543573379517,0.06210947036743164
10,13.331992626190186,0.015324592590332031
11,13.948208332061768,0.08092308044433594
12,14.582350730895996,0.09125566482543945
13,15.094823598861694,0.02791762351989746
14,15.561092615127563,0.0719001293182373
15,16.124124765396118,0.061127424240112305
16,16.731622219085693,0.022175073623657227
17,17.575865030288696,0.08124971389770508
18,18.439500331878662,0.15157699584960938
